69,69(體位)
cat_girl,貓娘
cat_hair_ornament,貓系發飾
cat_hat,貓耳帽子
cat_hood,貓耳兜帽
cat_lingerie,貓系內衣
cat_on_head,頭上趴著貓
cat_paws,貓爪
cat_print,貓元素印花
cat_tail,貓尾巴
cat_teaser,逗貓
catchphrase,標誌性臺詞
caterpillar_tracks,履帶
caught,被抓現行
caustics,焦散
caution_tape,警示帶
cave,洞穴
cd,光碟
ceiling,天花板
ceiling_light,頂燈
cellphone,手機
cellphone_picture,手機相片
centaur,人馬|馬娘
center_frills,胸口帶花邊的服裝
center_opening,正中間開口的服裝
chain,鎖鏈
chain_necklace,項鏈
chain-link_fence,鐵網
chainsaw,鏈鋸
chaldea_uniform,迦勒底制服
chalk,粉筆
chalkboard,黑板
champagne,香檳
champagne_flute,香檳杯
chandelier,吊燈
chaps,皮套褲
character_censor,用人臉打碼
character_doll,角色公仔
character_name,含角色名
character_print,印著某角色
character_profile,角色簡介
character_sheet,人設表
character_signature,含該角色的簽名
charm_(object),強調角色魅力的
chart,圖表
chasing,追逐
chat_log,聊天框風格
cheating,出軌
checkerboard_cookie,棋盤曲奇
checkered,方格圖案
checkered_background,方格背景
checkered_floor,格子地板
checkered_kimono,格子和服
checkered_neckwear,格子領口
checkered_scarf,格子圍巾
checkered_shirt,格子襯衫
checkered_skirt,格子裙
cheek_bulge,鼓著腮幫
cheek_pinching,捏臉頰
cheek_poking,戳臉頰
cheek_pull,扯臉頰
cheek-to-cheek,臉貼臉
cheering,助威
cheese,乳酪
chef,廚師
chef_hat,廚師帽
chef_uniform,廚師工裝
chemise,女式無袖寬內衣
cherry,櫻花|櫻桃
cherry_blossom_print,櫻花印花
chess_piece,棋子
chest,胸部
chest_hair,胸毛
chest_jewel,胸前有寶石
chest_of_drawers,抽屜
chest_tattoo,胸部有紋身
chestnut_mouth,栗子嘴
chewing_gum,口香糖
chibi_inset,內含Q版形象
chick,小雞
chicken,雞
chi-hatan_military_uniform,知波單學院制服
child,小孩
child_drawing,兒童畫作
child_on_child,孩子們
chimney,煙囪
chin_grab,抬下巴
chin_rest,托著下巴
chin_strap,頤革
chin_stroking,摸下巴
china_dress,中國服飾
chinese_text,中文
chinese_zodiac,十二生肖
chips,薯片
chocolate,巧克力
chocolate_bar,巧克力板
chocolate_heart,心形巧克力
chocolate_on_breasts,胸上的巧克力
choker,項圈
choko_(cup),豬口杯
christmas_lights,聖誕彩燈
christmas_tree,聖誕樹
chromatic_aberration,色差
church,教堂
cigar,雪茄
circle,圓圈
circle_cut,單行本概念預告圖
circle_name,封繪署名
circlet,頭冠
city,城市
city_lights,城市燈光背景
cityscape,城市背景
classroom,教室
claw_(weapon),爪(武器)
claw_pose,嘎哦
claws,爪
cleaning,打掃
cleavage_cutout,露出的乳溝
cleave_gag,被封住嘴
cleaver,砍肉刀
cleft_of_venus,蜜縫
clenched_hand,握緊的手
clenched_hands,緊握的雙手
clenched_teeth,牙齒緊咬
cliff,懸崖
climbing,攀爬
clipboard,寫字板
clitoral_hood,陰蒂包皮
clitoral_stimulation,玩弄陰蒂
clitoris_piercing,陰核環
cloak,斗篷
clock,時鐘
clock_tower,鐘樓
clone,克隆
closed_eyes,閉上的眼睛
closed_fan,摺扇
closed_mouth,閉著的嘴
closed_umbrella,收著的傘
close-up,特寫鏡頭
cloth,布
clothed_animal,有衣著的動物
clothed_female_nude_female,穿著衣服的女性和裸女
clothed_female_nude_male,穿著衣服的女性和裸男
clothed_male_nude_female,穿著衣服的男性和裸女
clothed_masturbation,著衣自慰
clothed_pokemon,有衣著的口袋妖怪
clothed_sex,著衣性交
clothes,衣服
clothes_around_waist,衣服系在腰上
clothes_between_breasts,衣服勒在乳溝裏
clothes_between_thighs,衣物掛到大腿之間
clothes_down,褪下衣物
clothes_grab,扯著衣物
clothes_hanger,衣架
clothes_lift,掀起衣物
clothes_pull,拉開衣物
clothes_removed,脫下的衣服
clothes_theft,偷衣服
clothes_tug,拖拽衣服
clothes_writing,印著字的T恤
clothesline,曬衣服
cloud,雲
cloud_hair,雲絮狀髮型
cloud_print,雲狀印花
cloudy_sky,多雲天氣
clover,三葉草
clover_hair_ornament,三葉草發飾
club,棍棒
club_(shape),梅花(撲克)
coat,外套
coattails,燕尾
coca-cola,可口可樂
cockpit,外套
cocktail,雞尾酒
cocktail_dress,(社交場合穿的)短裙
cocktail_glass,雞尾酒杯
coffee,咖啡
coffee_cup,咖啡杯
coffee_mug,馬克杯
coffin,棺材
coin,硬幣
coke-bottle_glasses,厚如玻璃瓶底的圓眼鏡
cold,寒冷的
collage,拼貼畫
collared_blouse,翻領短衫
collared_dress,有領連衣裙
collared_jacket,翻領夾克
collared_shirt,翻領襯衫
color_connection,色彩關聯
color_guide,色標卡
color_trace,原畫
colored_eyelashes,彩色的睫毛
colored_inner_hair,內層挑染
colored_pencil_(medium),彩色鉛筆畫
colored_pubic_hair,陰毛顏色
colored_stripes,多彩條紋
column,柱子
column_lineup,立繪並列
comb,梳子
combat_boots,軍用靴
come_hither,誘受
comforting,安慰
command_spell,令咒
company_connection,聯動
company_name,有版權署名
comparison,對比圖
competition_school_swimsuit,競泳死庫水
competition_swimsuit,賽用泳衣
computer,電腦
concept_art,概念藝術
condensation_trail,飛機雲
condom,避孕套
condom_in_mouth,口叼避孕套
condom_on_penis,戴避孕套
condom_packet_strip,避孕套包裝
condom_wrapper,避孕套包裝
confession,表白
confetti,彩色紙屑(祝賀)
consensual_tentacles,非強行的觸手侵犯
constellation,星座
constricted_pupils,收縮的瞳孔
contemporary,現代改編
contrapposto,對立式平衡
controller,控制器
convenience_store,便利店
convenient_arm,遮住關鍵部位的手臂
convenient_censoring,簡單巧妙的打碼
convenient_leg,擋住關鍵部位的腿
cookie,曲奇
cooking,烹飪
cooler,冷藏器
copyright,版權
copyright_name,版權署名
coral,珊瑚
corded_phone,有線電話
corn,玉米
corpse,屍體
corruption,惡墮|婊子化
corset,束腰
costume,服裝
costume_switch,服飾互換
cotton_candy,棉花糖
couch,沙發
countdown,倒計時
counter,櫃檯
couple,情侶
cousins,表親
cover,封面
cover_image,封面圖片
cover_page,封面
covered_collarbone,有衣物裹住的鎖骨
covered_eyes,蒙住的眼
covered_face,蒙臉
covered_mouth,蒙住的嘴
covered_navel,隱約入目的肚臍
covered_nipples,激凸的乳頭|隱約可見的乳頭
covering,遮蓋的動作
covering_ass,遮著臀部
covering_breasts,遮著乳房
covering_crotch,遮著襠部
covering_eyes,遮住眼睛
covering_face,擋住臉
covering_mouth,擋住嘴巴
covering_nipples,擋住乳頭
cow,牛
cow_ears,牛耳朵
cow_girl,牛娘
cow_horns,牛角
cow_print,奶牛系印花
cow_tail,牛尾
cowboy_boots,牛仔靴
cowboy_hat,牛仔帽
cowboy_shot,七分身鏡頭
crab,螃蟹
crack,裂痕
craft_essence,概念禮裝
crane_(machine),起重機
crate,大木箱
cravat,男式領巾
crazy_eyes,壞掉的眼神
creator_connection,同個原作者的角色們的同人
creature,創造物
creature_and_personification,擬人化(含對比)
credits_page,書脊
crepe,可麗餅
crescent,月牙
crescent_earrings,月牙耳環
crescent_hair_ornament,月牙發飾
crescent_moon,新月
crescent_rose,新月玫瑰
criss-cross_halter,交叉吊帶
crop_top,露腹短上衣
crop_top_overhang,乳簾
cropped_jacket,短夾克
cropped_legs,只畫了一部分腿
cropped_shirt,短襯衫
cropped_torso,只畫了一部分軀幹
cropped_vest,小款背心
cross,十字
cross_earrings,十字耳環
cross_hair_ornament,十字發飾
cross_necklace,十字架項鏈
cross_print,十字架元素圖案
crossbow,弩
crossdressing,(變裝)女裝
crossed_ankles,交叉腳踝
crossed_arms,交叉雙臂
crossed_bangs,交叉的劉海
crossed_legs,交叉的腿
cross-laced_clothes,交叉花邊服飾
cross-laced_footwear,交叉系帶鞋
crossover,跨界作品
crosswalk,人行橫道
crotch,胯部
crotch_plate,襠部有特別覆蓋物
crotch_seam,襠部的縫
crotchless,開襠的
crotchless_panties,開檔內褲
crow,烏鴉
crowd,人群
crown,王冠|皇冠
crown_braid,法式冠編發
crying,哭
crying_with_eyes_open,睜著眼落淚
crystal,礦石
crystal_ball,水晶球
crystal_earrings,水晶耳環
crystal_hair,水晶狀的頭髮
cube,立方體
cucumber,黃瓜
cuddling,擁抱
cum,精液
cum_in_ass,肛門內射
cum_in_mouth,口內射精
cum_in_pussy,內射|中出
cum_on_ass,射在屁股上
cum_on_body,射在身上
cum_on_boy,射在男性身上
cum_on_breasts,射在胸上
cum_on_clothes,射在衣服上
cum_on_lower_body,射在下半身上
cum_on_pussy,射在陰部上
cum_on_self,射在自己身上
cum_on_stomach,射在嘴裏
cum_on_tongue,射在舌頭上
cum_on_upper_body,射在上半身
cum_pool,淌成一灘的精液
cum_string,拉絲的精液
cum_while_penetrated,射在後庭裏
cumdrip,溢出的精液(已拔出)
cup,杯子
cup_ramen,杯面
cupcake,紙杯蛋糕
cupless_bra,高露出度胸罩
curled_horns,彎曲的角
curry,咖喱
curry_rice,咖喱飯
cursor,游標
curtains,窗簾
curtsey,(女子的)屈膝禮
curvy,展現魅力的姿勢
cushion,坐墊
cute_&_girly_(idolmaster),cute&girly (偶像大師)
cutoffs,熱褲
cuts,割傷
cutting_board,砧板
cutting_hair,剪頭髮
cyberpunk,賽博朋克
cyborg,賽博人類
cyclops,獨眼巨人
cyrillic,斯拉夫文
daisy,雛菊
dakimakura_(object),抱枕(物體)
damaged,受損的
dancer,舞者
dancing,跳舞
dandelion,蒲公英
dangerous_beast,《危險的野獸》FGO禮裝
dango,團子
danmaku,彈幕
dappled_sunlight,透過樹葉灑下的陽光
dark_areolae,深色的乳暈
dark_aura,黑暗的光環|黑暗的氣場
dark_blue_hair,深藍色頭髮
dark_elf,暗精靈
dark_nipples,深色的乳頭
dark_penis,深色的陰莖
dark_skin,褐色皮膚
darkness,黑暗
dated,付上日期的
day,白天
death,死
debris,碎片|殘骸
debt,負債的
decepticon,霸天虎
deep_penetration,捅到子宮
deep_skin,角色的另一面(多指色情)
deer,鹿
defeat,敗北
demon,惡魔
demon_boy,惡魔男孩
demon_girl,魅魔
demon_horns,惡魔的角
demon_tail,惡魔尾巴
demon_wings,惡魔翅膀
denim,牛仔布
denim_shorts,牛仔短褲
denim_skirt,牛仔裙
depth_of_field,景深(畫法)
desert,沙漠
desk,書桌
desk_lamp,臺燈
dessert,甜點
destruction,破壞
detached_collar,假領
detached_sleeves,分離袖子
detached_wings,不與本體相連的翅膀
diadem,冠飾
diagonal_bangs,斜劉海
diagonal_stripes,斜紋
diagonal-striped_neckwear,斜紋領結
diamond_(gemstone),鑽石(寶石)
diamond_(shape),菱形(形狀)
diamond_(symbol),菱形(符號)
dice,骰子
different_reflection,映出的另一面
diffraction_spikes,衍射十字星
digital_dissolve,化成數據般消失
digital_media_player,隨身聽
dimples_of_venus,女性的腰窩|維納斯之眼
dinosaur,恐龍
dirndl,阿爾卑斯村姑裙
dirty,骯髒的
dirty_clothes,弄髒的衣服
dirty_face,弄髒的臉
dirty_feet,弄髒的腳
disembodied_head,分離的頭
disembodied_limb,斷肢
disembodied_penis,斷掉的陰莖
disposable_cup,一次性紙杯
dissolving,溶解的
dissolving_clothes,溶解掉的衣服
diving,潛水
diving_mask,潛水面罩
diving_mask_on_head,頭戴潛水面罩
dixie_cup_hat,狗盆帽
dock,船塢
doctor,醫生
dog,狗
dog_collar,狗項圈
dog_girl,犬娘
dog_tags,狗牌
dog_tail,狗尾巴
doggystyle,後入式
doily,花邊元素
doll,人偶|玩偶
doll_hug,抱著玩偶
doll_joints,玩偶球形關節
dolphin,海豚
dolphin_shorts,海豚短褲
dominatrix,女王(SM中)
domino_mask,SM面具
donation_box,募捐箱
"don't_say_""lazy""","《don't_say_""lazy""》"
door,門
dot_nose,小圓點鼻
dotted_line,虛線
double_bun,團子頭
double_handjob,雙手各握著一根陰莖
double_v,啊嘿顏比V
double_vertical_stripe,服飾上有兩條平行條紋
double-breasted,雙排紐扣
doughnut,甜甜圈
dougi,武道服
doujin_cover,同人封面
doujinshi,同人志
dove,白鴿
downblouse,胸部走光
dowsing_rod,占星杖
doyagao,得意臉
d-pad,方向鍵
d-pad_hair_ornament,方向鍵發飾
dragging,角色在拖某物
dragon,龍
dragon_girl,龍娘
dragon_horns,龍角
dragon_tail,龍尾
dragon_wings,龍翼
dragonfly,蜻蜓
draph,牛角族
drawer,抽屜
drawing,繪畫
drawing_bow,拉弓
drawing_tablet,手繪板
drawr,源drawr不可尋
drawstring,衣服的抽繩
dreaming,做夢
dress_bow,連衣裙上的蝴蝶結
dress_lift,掀起裙子
dress_pull,剝下裙子胸口的部分
dress_removed,脫下裙子
dress_shirt,西服襯衫
dress_tug,壓住裙擺
dressing,穿衣
dressing_another,著裝
drill,鑽頭
drink,飲料
drinking,喝
drinking_glass,酒杯
drinking_straw,吸管
dripping,液體滴落
driving,駕駛
drone,無人機
drooling,流口水
drop_shadow,立繪陰影
dropping,(意外)掉落
drugs,藥物
drum,鼓
drum_(container),桶(容器)
drum_set,架子鼓
drumsticks,鼓槌
drying,弄幹(浴後)
drying_hair,弄幹頭髮
dual_persona,雙重人格
dual_wielding,雙持
duck,鴨子
dudou,肚兜
duel,決鬥
duel_monster,遊戲王決鬥怪獸
duffel_bag,行李包
duffel_coat,粗呢大衣
dumbbell,啞鈴
dusk,黃昏
dust,灰塵
dust_cloud,煙塵
duster,撣子
dutch_angle,德式傾斜鏡頭
dvd_cover,DVD封面
eagle,鷹
ear_biting,咬耳朵
ear_blush,耳紅
ear_piercing,穿耳洞
ear_protection,護耳罩
ear_tag,耳標
earbuds,耳塞
earmuffs,耳罩
earphones,耳機
ears,多雙耳朵
ears_down,下垂的耳朵
ears_through_headwear,為耳朵留洞的頭飾
easel,畫架
east_asian_architecture,東方風格建築
easter_egg,復活節彩蛋
eastern_dragon,東方龍
eating,咀嚼
egasumi,工霞
egg,蛋
eggplant,茄子
egyptian,埃及
egyptian_clothes,埃及風格服飾
ehoumaki,惠方卷
eighth_note,八分音符
ejaculation,射精
elbow_gloves,長手套
elbow_pads,護肘
electric_fan,電風扇
electric_guitar,電吉他
electric_socket,插座
electricity,電
elephant,大象
elf,精靈
elite_four,四天王
ema,繪馬
embarrassed,害羞
embellished_costume,經潤飾的服裝
embers,餘燼
emblem,紋章
emerald_(gemstone),翡翠(寶石)
emphasis_lines,集中線
empty_eyes,空洞的眼神
energy_ball,能量球
energy_gun,鐳射槍
energy_sword,光劍
english_text,英語
engrish_text,L和R不分的英文
enmaided,女僕裝
enpera,(圍巾束成的)烏賊鰭髮型
envelope,信封
epaulettes,肩章
epic,壯麗且經典的故事(的同人)
eraser,橡皮擦
erect_clitoris,膨脹的陰核
erection,勃起
erection_under_clothes,老二立帳篷
eromanga,色情漫畫
error,有問題的作畫
erune,獸耳族
evening,傍晚
evening_gown,晚會禮服
everyone,集合繪
evil_grin,邪惡的露齒笑
evil_smile,邪惡的笑容
excessive_cum,超大的射精量
excessive_pubic_hair,極濃密的陰毛
exercise,做運動
exhibitionism,露出
explosion,爆炸
explosive,易爆的
expression_chart,角色的多表情展示
expressive_clothes,富有表現力的衣服
expressive_hair,富有表現力的頭髮
extra,衍生角色(形象)
extra_arms,多隻手臂
extra_ears,四隻耳朵
extra_eyes,多隻眼睛
extra_mouth,有多張嘴巴
eye_contact,眼神交流
eye_of_horus,荷魯斯之眼
eyeball,眼球
eyebrows,眉毛
eyebrows_behind_hair,擋在頭髮下的眉毛
eyebrows_visible_through_hair,透過頭髮可以看到的眉毛
eyelashes,睫毛
eyeliner,眼線
eyepatch_bikini,眼罩比基尼
eyepatch_removed,摘眼罩
eyes,眼睛
eyes_visible_through_hair,透過頭髮可以看到的眼睛
eyeshadow,眼影
eyewear_on_head,眼鏡別在頭上
eyewear_removed,摘眼鏡
face,臉部
faceless,沒有臉部細節的
faceless_female,無臉部女性
facepalm,以手掩面
face-to-face,臉貼臉
facial_hair,鬍鬚
facial_mark,臉部有圖案
facial_tattoo,臉部有紋身
facing_another,二人面對面(臉貼得很近)
facing_away,面向別處
facing_viewer,面向鏡頭
failure,失敗
fairy,小妖精
fairy_wings,妖精的翅膀
fake_animal_ears,仿製的動物耳朵
fake_cover,(同人向玩梗向的)封面
fake_facial_hair,假鬍鬚
fake_horns,裝飾性的角
fake_mustache,假鬍子
fake_screenshot,(同人向玩梗向的)截圖
fake_tail,仿造的尾巴
fake_wings,仿造的翅膀
falchion_(fire_emblem),法爾西昂(火焰之紋章)
fallen_down,倒地的
falling,正在下墜的
falling_leaves,落葉
falling_petals,落花
family,一家子
family_crest,家徽
fan,扇子|電風扇
fang,虎牙
fang_out,露出虎牙|露出尖牙
fanny_pack,腰包
fantasy,幻想
fashion,時尚
fat,肥胖的|大號美女
fat_man,胖子
fat_mons,豐滿的
father_and_daughter,父女
father_and_son,父子
faucet,水龍頭
faulds,腹甲
faux_figurine,仿手辦風格
faux_traditional_media,傳統手繪風格
feather_boa,羽毛圍巾
feathered_wings,羽翼
feathers,羽毛
feather-trimmed_sleeves,羽毛裝飾的袖子
fedora,軟呢帽
feeding,餵食
feet,腳
feet_out_of_frame,雙腳不在圖內
feet_up,翹起腳
fellatio_gesture,擺著口交的手勢
female_orgasm,女性高潮
female_pervert,癡女
female_pov,女性視角
femdom,逆強姦
fence,柵欄
ferret,貂
ferris_wheel,摩天輪
festival,節日|祭典
fff_threesome,女女女3P
ffm_threesome,女女男3P
fictional_persona,原創人物
field,田野
fiery_wings,燃燒著的翅膀
fighter_jet,戰鬥機
fighting,戰鬥中的
fighting_stance,戰鬥姿態|擺著架勢的
figure,手辦
film_grain,膠片顆粒感|老電影濾鏡
fine_fabric_emphasis,精細的面料感|超還原的絲襪
finger_biting,咬手指
finger_in_another's_mouth,口內指交
finger_in_mouth,手指伸進嘴裏
finger_on_trigger,準備扣扳機的手勢
finger_sucking,吮吸手指
finger_to_mouth,手抵在嘴唇邊
fingering,指交
fingering_through_clothes,手指隔著衣物摸來摸去
fingernails,指甲
fingers,手指
fingers_together,手指併攏
fins,魚鰭
fire,火
fireflies,螢火蟲
fireplace,壁爐
fireworks,煙花
firing,射擊
fish,魚
fish_girl,魚人
fish_hair_ornament,魚形發飾
fish_print,魚形印花
fisheye,魚眼鏡頭
fishing,釣魚
fishing_rod,釣魚竿
fishnet_legwear,漁網襪
fishnets,漁網裝(襪)
flaccid,未勃起的
flag,旗
flag_print,旗幟印花
flail,梿枷
flame,火焰
flame_print,火焰圖案
flaming_eye,焰目
flapping,拍打動作
flashback,回憶場景
flashing,露出
flashlight,手電筒
flask,燒瓶
flat_ass,貧瘠的屁股
flat_cap,平頂帽|司機帽
flat_chest,平胸|貧乳(A)
flat_chest_grab,抓著貧乳
flat_color,平塗風格
flats,無背景|平鋪的背景
fleeing,在逃跑的
fleur_de_lapin_uniform,點兔女僕裝
flexible,柔韌性好的
flexing,秀肌肉
flip_phone,翻蓋手機
flip-flops,人字拖
flipped_hair,外捲髮型
floating,浮動的|在漂浮的
floating_hair,飄動的頭髮
floating_island,浮島
floating_object,漂浮物
flock,悠遠|恢弘感|一大群
floor,地板
floppy_ears,大耳朵|下垂的耳朵|飛機耳髮型
floral_background,花朵點綴的背景|有花香的感覺
floral_print,花朵圖案(印花)
flower,花
flower_(symbol),花(符號)
flower_bracelet,花手鐲
flower_earrings,花耳環
flower_field,花田
flower_knot,繩結
flower_necklace,花環|鮮花項鏈
fluffy,毛茸茸的
flustered,慌亂的
flute,笛
flying,飛行
flying_kick,飛踢
flying_sweatdrops,飛揚的汗珠
foam,泡沫
fog,霧
folded,抬腿露陰
folded_ponytail,蜷起來的馬尾
folding_chair,折疊椅
folding_fan,扇子
food,食物
food_in_mouth,嘴裏有食物
food_on_body,身體上有食物
food_on_face,臉上有食物
food_print,食物印花
food_stand,食品攤
foot_out_of_frame,單腳不在圖內
footprints,腳印
forced_orgasm,強制高潮
forehead,額頭
forehead_jewel,額前有寶石
forehead_kiss,親吻額頭
forehead_mark,額前有圖案
forehead_protector,護額
forehead-to-forehead,額頭貼額頭
foreshortening,正前縮距透視法
foreskin,包皮
fork,餐叉
formal,正裝
fountain,噴泉
four-leaf_clover,四葉草
fourth_wall,虛實穿插|連接到現實的感覺|次元壁
fox,狐狸
fox_girl,狐娘
fox_mask,狐狸面具
fox_shadow_puppet,狐狸手勢
fox_tail,狐狸尾巴
framed_breasts,極具立體感的乳房
freckles,雀斑
freediving,潛水(泳姿不限)
french_braid,法式辮子
french_flag,法國國旗
french_fries,炸薯條
french_kiss,舌吻
french_text,法文
fried_egg,煎蛋|荷包蛋
friends,朋友
frilled_apron,花邊圍裙
frilled_bikini,花邊比基尼
frilled_bow,花邊蝴蝶結
frilled_bra,花邊胸罩
frilled_capelet,花邊披肩
frilled_choker,花邊項圈
frilled_collar,花邊衣領
frilled_dress,花邊連衣裙
frilled_gloves,花邊手套
frilled_hairband,花邊發帶
frilled_kimono,花邊和服
frilled_legwear,花邊的褲襪
frilled_panties,花邊內褲
frilled_ribbon,花邊緞帶
frilled_shirt,花邊襯衫
frilled_shirt_collar,花邊襯衫領
frilled_skirt,花邊裙子
frilled_sleeves,花邊袖子
frilled_swimsuit,花邊泳衣
frills,花邊
fringe_trim,碎邊飾物|邊緣裝飾物
frog,青蛙
frog_girl,青蛙娘
frog_hair_ornament,青蛙發飾
from_above,俯視鏡頭
from_behind,背影
from_below,仰視鏡頭
from_outside,室外看向室內(的鏡頭)
from_side,角色的側面
front_ponytail,束在正面的馬尾
front_zipper_swimsuit,拉鏈在正面的泳衣
front-print_panties,正面有圖案的內褲
front-tie_bikini,從正面打結的比基尼
front-tie_top,從正面打結的衣物
frottage,摩擦性器官|用性器官摩擦別人的身體
frozen,被凍住的
fruit,水果
frying_pan,平底鍋
fucked_silly,被肏到恍惚|被幹得不要不要
full_armor,穿著全套盔甲的
full_body,全身|畫出了全身
full_nelson,雙肩下握頸體位
full-face_blush,整張臉泛紅
full-length_zipper,有整件衣物長的拉鏈
full-package_futanari,有完整兩性器官的扶她
fume,氣得冒煙(含一定漫畫元素)
fundoshi,兜襠布
fur,毛皮
fur_boots,矮跟休閒皮草靴
fur_coat,毛皮大衣
fur_collar,毛皮衣領
fur_hat,毛皮帽子
fur_trim,皮草款式|毛皮鑲邊
furisode,振袖
furry,毛茸茸|獸人|福瑞
fur-trimmed_boots,皮草靴
fur-trimmed_cape,毛皮鑲邊斗篷
fur-trimmed_capelet,毛皮裝飾披肩
fur-trimmed_coat,鑲邊皮草大衣
fur-trimmed_dress,毛皮鑲邊連衣裙
fur-trimmed_gloves,毛皮鑲邊手套
fur-trimmed_hood,毛皮鑲邊風帽
fur-trimmed_jacket,皮草夾克
fur-trimmed_legwear,皮草修身長褲
fur-trimmed_skirt,毛皮鑲邊短裙
fur-trimmed_sleeves,毛皮鑲邊袖子
fusion,融合|合體
futa_with_female,扶她和女性
futa_with_futa,兩個扶她
futa_with_male,扶她和男性
futanari,扶她
futasub,幹扶她|玩弄扶她
futon,被窩
fuuin_no_tsue,封印之杖
gagged,被塞口的
gakuran,學蘭
game_console,遊戲機
game_controller,遊戲控制器
gamepad,遊戲手柄
gameplay_mechanics,(融入了)遊戲機制元素
ganguro,黑皮
gap_(touhou),隙間(東方)
gaping,敞開的|撐開的(陰部和屁眼)
garden,花園
garreg_mach_monastery_uniform,加爾格•馬可大修道院制服
garrison_cap,船形帽|衛戍帽|軍便帽
garter_belt,吊帶襪的腰帶
garter_straps,吊帶襪的吊帶
garters,吊帶襪的襪帶
gas_mask,防毒面具
gate,門
gathers,褶襇(衣物)
gatling_gun,加特林機槍
gauntlets,護腕
gears,齒輪
gem,寶石
gem_uniform_(houseki_no_kuni),寶石之國的制服
gen_1_pokemon,第1代口袋妖怪
gen_2_pokemon,第2代口袋妖怪
gen_3_pokemon,第3代口袋妖怪
gen_4_pokemon,第4代口袋妖怪
gen_5_pokemon,第5代口袋妖怪
gen_6_pokemon,第6代口袋妖怪
gen_7_pokemon,第7代口袋妖怪
gen_8_pokemon,第8代口袋妖怪
genderswap,性轉
genderswap_(ftm),男體化
genderswap_(mtf),女體化
german_clothes,德國服裝
german_flag,德國國旗
german_flag_bikini,德國國旗比基尼
german_text,德語
germany,德國
geta,木屐
ghost,幽靈
ghost_tail,幽靈尾巴
giant,巨人
gift,禮物
gift_bag,禮品袋
gift_box,禮品盒
gigantic_breasts,魔乳(F)
girl_sandwich,被兩個女孩夾在中間
giving,遞|贈送
giving_up_the_ghost,靈魂出竅
glaive,長柄刀
glaring,輕蔑的眼神|怒視
glass,玻璃
glasses,眼鏡|眼鏡娘
glint,眼中閃現強烈的情感
globe,地球儀
glomp,熱情的擁抱|撲上來抱住
gloom_(expression),消沉(表情)
gloves_removed,脫下手套
glowing,發光的
glowing_eye,發光的眼睛(單眼)
glowing_eyes,發光的雙眼
glowing_weapon,發光的武器
glowstick,螢光棒|打call棒
goatee,山羊胡
goblin,哥布林
goddess,女神
goggles_around_neck,脖子掛著護目鏡
goggles_on_head,頭上別著護目鏡
goggles_on_headwear,帽子上別著護目鏡
gold,金
gold_armor,黃金盔甲
gold_chain,金鏈子
gold_trim,金色鑲邊
goldfish,金魚
golf_club,高爾夫俱樂部
good_end,好結局
gorget,護喉|護喉甲|頸甲
gourd,葫蘆
gown,女裙|女長服|女禮服
grabbing,抓住|抓著
grabbing_another's_ass,抓著對方屁股
grabbing_another's_hair,抓著對方的頭髮
grabbing_from_behind,從背後揉胸|從背後抓住胸部
grabbing_own_ass,抓著自己的屁股
gradient,(身體或肢體)傾斜
gradient_hair,漸變色的頭髮
gradient_sky,傾斜的天空
graffiti,塗鴉
grapes,葡萄
graphite_(medium),鉛筆畫(中號)
grass,草
grave,墳墓
graveyard,墓地
greaves,脛甲
green_background,綠色背景
green_bikini,綠色比基尼
green_bodysuit,綠色緊身衣
green_bow,綠色蝴蝶結
green_bra,綠色胸罩
green_cape,綠色斗篷
green_choker,綠色項圈
green_coat,綠色外套
green_dress,綠色連衣裙
green_footwear,綠色鞋類
green_gloves,綠色的手套
green_hairband,綠色發帶
green_hakama,綠色的袴
green_headwear,綠色頭飾
green_jacket,綠色夾克
green_kimono,綠色和服
green_legwear,綠色的褲襪
green_leotard,綠色連身衣
green_nails,綠色的指甲
green_neckwear,綠色的領結
green_panties,綠色的內褲
green_pants,綠色的褲子
green_ribbon,綠色絲帶
green_sailor_collar,綠色水手領
green_scarf,綠色圍巾
green_shirt,綠色襯衫
green_shorts,綠色短褲
green_skin,綠色皮膚
green_skirt,綠色的裙子
green_sweater,綠色的毛衣
green_swimsuit,綠色的泳衣
green_tea,綠茶
green_theme,綠色主題
green_vest,綠色背心
green_wings,綠色翅膀
green-framed_eyewear,綠框眼鏡
grenade,手榴彈
grenade_launcher,榴彈發射器
grey_background,灰色背景
grey_bikini,灰色比基尼
grey_bow,灰色蝴蝶結
grey_cardigan,灰色開口襯衫
grey_coat,灰色外套
grey_dress,灰色連衣裙
grey_eyes,灰色的眼睛
grey_footwear,灰色鞋類
grey_gloves,灰色手套
grey_headwear,灰色頭飾
grey_hoodie,灰色連帽衫
grey_jacket,灰色夾克
grey_legwear,灰色的褲襪
grey_neckwear,灰色的領結
grey_panties,灰色的內褲
grey_pants,灰色的褲子
grey_ribbon,灰色絲帶
grey_sailor_collar,灰色水手領
grey_shirt,灰色上衣
grey_shorts,灰色短褲
grey_skin,灰色皮膚
grey_skirt,灰色短裙
grey_sleeves,灰色袖子
grey_sweater,灰色毛衣
grey_theme,灰色
grey_vest,灰色背心
greyscale,純黑白色|黑白照片化
grill,烤架
grimace,(因痛苦、厭惡等)做怪相
grimoire,魔法書
grimoire_of_alice,愛麗絲的魔法書(東方)
grinding,素股|臀推
groceries,食材
grocery_bag,購物袋
groin,腹股溝|恥丘
